id;first_name;last_name;birth_date;bio;nationality
1;Brenden;Larkin;2023-12-16T05:58:45;../fake-data/blob/hipster.txt;prattle hm
2;Jalen;Watsica;2023-12-16T07:39:40;../fake-data/blob/hipster.txt;ah likewise
3;Okey;Bahringer;2023-12-15T15:37:16;../fake-data/blob/hipster.txt;gently
4;Gisselle;Luettgen;2023-12-16T11:41:18;../fake-data/blob/hipster.txt;now out
5;Jarred;Hand;2023-12-15T19:15:40;../fake-data/blob/hipster.txt;wherever yowza
6;Hope;Jacobi;2023-12-16T13:51:05;../fake-data/blob/hipster.txt;certainly draught
7;Andreane;Grant;2023-12-16T12:15:10;../fake-data/blob/hipster.txt;favorite instead bogus
8;Loyal;Kiehn;2023-12-16T07:54:49;../fake-data/blob/hipster.txt;although altruistic well
9;Hershel;Spinka;2023-12-16T07:54:56;../fake-data/blob/hipster.txt;until
10;Idell;Christiansen;2023-12-16T10:13:23;../fake-data/blob/hipster.txt;when whose throughout
